PT_CODE,UMLS_CUI,TERM,TTY
10000647,C0000727,"Acute abdomen",PT
10000647,C0000727,"Acute abdomen",LLT
10000060,C0000731,"Abdominal distension",LLT
10000060,C0000731,"Abdominal distension",PT
10000077,C0000734,"Abdominal mass",LLT
10000077,C0000734,"Abdominal mass",PT
10060925,C0000735,"Abdominal neoplasm",LLT
10060925,C0000735,"Abdominal neoplasm",PT
10000081,C0000737,"Abdominal pain",LLT
10000081,C0000737,"Abdominal pain",PT
10083851,C0000744,"Abetalipoproteinaemia",PT
10083851,C0000744,"Abetalipoproteinaemia",LLT
10048065,C0000766,"X-ray abnormal",LLT
10048065,C0000766,"X-ray abnormal",PT
10010356,C0000768,"Congenital anomaly",LLT
10010356,C0000768,"Congenital anomaly",PT
10060919,C0000768,"Foetal malformation",LLT
10060919,C0000768,"Foetal malformation",PT
10028182,C0000772,"Multiple congenital abnormalities",LLT
10028182,C0000772,"Multiple congenital abnormalities",PT
10061165,C0000774,"Gastrin secretion disorder",LLT
10061165,C0000774,"Gastrin secretion disorder",PT
10000234,C0000786,"Abortion spontaneous",LLT
10000234,C0000786,"Abortion spontaneous",PT
10062935,C0000809,"Habitual abortion",LLT
10062935,C0000809,"Habitual abortion",PT
10061617,C0000810,"Abortion spontaneous incomplete",LLT
10061617,C0000810,"Abortion spontaneous incomplete",PT
10000230,C0000814,"Abortion missed",LLT
10000230,C0000814,"Abortion missed",PT
10000228,C0000817,"Abortion infected",LLT
10000228,C0000817,"Abortion infected",PT
10000242,C0000821,"Abortion threatened",LLT
10000242,C0000821,"Abortion threatened",PT
10036608,C0000832,"Premature separation of placenta",PT
10036608,C0000832,"Premature separation of placenta",LLT
10000269,C0000833,"Abscess",LLT
10000269,C0000833,"Abscess",PT
10069408,C0000880,"Acanthamoeba keratitis",PT
10069408,C0000880,"Acanthamoeba keratitis",LLT
10058820,C0000887,"Acantholysis",PT
10058820,C0000887,"Acantholysis",LLT
10000350,C0000889,"Acanthosis nigricans",PT
10000350,C0000889,"Acanthosis nigricans",LLT
10000369,C0000924,"Accident",LLT
10000369,C0000924,"Accident",PT
10000451,C0001075,"Achlorhydria",PT
10000451,C0001075,"Achlorhydria",LLT
10000457,C0001118,"Acid base balance abnormal",LLT
10000457,C0001118,"Acid base balance abnormal",PT
10000486,C0001122,"Acidosis",LLT
10000486,C0001122,"Acidosis",PT
10023676,C0001125,"Lactic acidosis",PT
10023676,C0001125,"Lactic acidosis",LLT
10038535,C0001126,"Renal tubular acidosis",PT
10038535,C0001126,"Renal tubular acidosis",LLT
10038661,C0001127,"Respiratory acidosis",PT
10038661,C0001127,"Respiratory acidosis",LLT
10051894,C0001139,"Acinetobacter infection",PT
10051894,C0001139,"Acinetobacter infection",LLT
10051651,C0001145,"Dermatitis papillaris capillitii",LLT
10051651,C0001145,"Dermatitis papillaris capillitii",PT
10078794,C0001163,"Auditory nerve disorder",LLT
10078794,C0001163,"Auditory nerve disorder",PT
10000565,C0001175,"Acquired immunodeficiency syndrome",LLT
10000565,C0001175,"Acquired immunodeficiency syndrome",PT
10003813,C0001175,"Autoimmune deficiency syndrome",LLT
10002943,C0001193,"Apert's syndrome",LLT
10000593,C0001197,"Acrodermatitis",LLT
10000598,C0001198,"Acrodynia",PT
10000598,C0001198,"Acrodynia",LLT
10000599,C0001206,"Acromegaly",PT
10000599,C0001206,"Acromegaly",LLT
10014146,C0001231,"Ectopic ACTH syndrome",PT
10014146,C0001231,"Ectopic ACTH syndrome",LLT
10000620,C0001261,"Actinomycosis",PT
10000620,C0001261,"Actinomycosis",LLT
10000621,C0001263,"Actinomycotic abdominal infection",LLT
10000621,C0001263,"Actinomycotic abdominal infection",PT
10033647,C0001339,"Pancreatitis acute",LLT
10033647,C0001339,"Pancreatitis acute",PT
10048998,C0001349,"Acute phase reaction",LLT
10048998,C0001349,"Acute phase reaction",PT
10043780,C0001360,"Thyroiditis acute",LLT
10043780,C0001360,"Thyroiditis acute",PT
10001093,C0001361,"Acute tonsillitis",LLT
10001115,C0001396,"Adams-Stokes syndrome",LLT
10001115,C0001396,"Adams-Stokes syndrome",PT
10001130,C0001403,"Addison's disease",PT
10001130,C0001403,"Addison's disease",LLT
10052381,C0001403,"Primary adrenal insufficiency",LLT
10052381,C0001403,"Primary adrenal insufficiency",PT
10001141,C0001418,"Adenocarcinoma",LLT
10001141,C0001418,"Adenocarcinoma",PT
10001230,C0001425,"Adenoidectomy",PT
10001230,C0001425,"Adenoidectomy",LLT
10051223,C0001427,"Adenoiditis",PT
